Description,Category,Available Qty,Cost,Whole Sale Price,Price,Alt Price 1,Alt Price 2
PERFECT POWER M 15 CHAINSET,PANTRA,2,,1650,1900,,
MITSO TMX SUPREMO  CHAINSET,PANTRA,5,,850,1250,,
RK-M CHAIN,PANTRA,3,,380,550,,
MITSU 120L 428,PANTRA,3,,,,,
MAKOTO 130L 428,PANTRA,1,,,,,
MISHIBA 110L 428,PANTRA,11,,180,380,,
"MAKOTO BRAKE SHOE HD3, HDX, WIND 125",PANTRA,8,,,,,
YAMAKOTO BRAKE SHOE TMX FRONT,PANTRA,25,,,,,
"MISHIBA BRAKE SHOE RS100, HD3",PANTRA,3,,,,,
SUNBEN BRAKE SHOE TMX FRONT,PANTRA,10,,,,,
RZ BRAKE SHOE RS,PANTRA,3,,,,,
MTR BRAKE SHOE SKYDRIVE,PANTRA,5,,,,,
MEHOL BRAKE SHOE CB 125,PANTRA,6,,,,,
"OTAKA BRAKE SHOE TMX 125, CB110, XR150",PANTRA,8,,,,,
"MAKOTO BRAKE SHOE BEAT 110, SUPREMO, CLICK 160",PANTRA,10,,,,,
SPEED POWER BRAKE SHOE TMX 155 REAR,PANTRA,2,,,,,
"MK BRAKE SHOE C100, WAVE 100, WAVE 110",PANTRA,3,,,,,
YAMAKOTO BRAKE SHOE TMX FRONT,PANTRA,1,,,,,
PMK BRAKE SHOE TMX 155 REAR,PANTRA,6,,,,,
GRS BRAKE SHOE BARAKO,PANTRA,1,,,,,
YAMAHA M3 BRAKE,PANTRA,5,,,,,
"HONDA BRAKE SHOE GENUINE CLICK, BEAT",PANTRA,5,,,,,
VGT DISC PAD PCX/ADV REAR,PANTRA,30,,,,,
VGT DISK PAD ADV FRONT,PANTRA,30,,,,,
VGT DISK PAD SNIPER FRONT,PANTRA,29,,,,,
VGT DISC PAD RAIDER 150 REAR,PANTRA,45,,,,,
VGT DISC PAD RAIDER 150 FRONT,PANTRA,13,,,,,
VGT DISC PAD WAVE 125 FRONT,PANTRA,45,,,,,
VGT DISC PAD R150i REAR,PANTRA,8,,,,,
VGT DISC PAD XRM TRINITY,PANTRA,18,,,,,
VGT DISC PAD BEAT FRONT,PANTRA,42,,,,,
TTGR BRAKE SHOE SKYDRIVE,PANTRA,1,,,,,
YAMAHA DISC PAD GENUINE XMAX,PANTRA,4,,,,,
RS8 FORCE DISC PAD R150 FRONT,PANTRA,7,,,,,
RS8 FORCE DISC PAD RAIDER OLD FRONT,PANTRA,10,,,,,
RS8 FORCE DISC PAD CLICK 150,PANTRA,4,,,,,
BENDIX DISC PAD HONDA BEAT/200MGR,PANTRA,6,,,,,
BENDIX DISC PAD MIO SOULD I 125,PANTRA,4,,,,,
HONDA GENUINE DISC PAD CLICK 125,PANTRA,12,,,,,
HONDA GENUINE DISC PAD PCX/ADV,PANTRA,13,,,,,
UNIQUE PERFORMANCE DISC PAD BRASS Rfi FRONT,PANTRA,6,,,,,
SLIDER PIECE GY6,PANTRA,9,,,,,
SLIDER PIECE YAMAHA GENUINE MIO,PANTRA,8,,,,,
SGP VALVE GUIDE SMASH 110,PANTRA,2,,,,,
JAPAN VALVE GUIDE XRM 110,PANTRA,1,,,,,
YAMAHA GENUINE BENDIX KIT MIO,PANTRA,3,,,,,
JAPAN BENDIX KIT XRM 110,PANTRA,5,,,,,
DYNO PRO RACING MANUAL CAM CHAIN TENSIONEL AEROX/NMAX,PANTRA,5,,,,,
DYNO PRO RACING MANUAL CAM CHAIN TENSIONEL RAIDER J/SHOGUN,PANTRA,1,,,,,
DYNO PRO RACING MANUAL CAM CHAIN TENSIONEL WAVE 125/GY6,PANTRA,3,,,,,
RS8 PERFORMANCE CVT LOCKING NUT NMAX/AEROX/M3,PANTRA,12,,,,,
HONDA GENUINE ROLLER COMP CAM CHAIN GUIDE WAVE,PANTRA,8,,,,,
HERO ABS SENSOR DISC PCX,PANTRA,1,,,,,
HERO ABS SENSOR DISC AEROX,PANTRA,1,,,,,
TTGR SIDE STAND SWITCH PCX 160,PANTRA,2,,,,,
TTGR SIDE STAND SWITCH NMAX,PANTRA,2,,,,,
TTGR SIDE STAND SWITCH CLICK 125/150,PANTRA,2,,,,,
TTGR SIDE STAND SWITCH MIO I 125/M3,PANTRA,2,,,,,
TTGR SIDE STAND SWITCH ADV/PCX,PANTRA,2,,,,,
TGO TAKASAGO STOCK PIPE TMX 155,PANTRA,5,,,,,
TGO TAKASAGO STOCK PIPE WAVE 125,PANTRA,3,,,,,
TGO TAKASAGO STOCK PIPE WAVE 100,PANTRA,1,,,,,
STOCK PIPE XRM 110,PANTRA,1,,,,,
STOCK PIPE XRM 125,PANTRA,2,,,,,
STOCK PIPE SMASH 110,PANTRA,3,,,,,
BARAKO CHICKEN PIPE,PANTRA,2,,,,,
YAMAHA GENUINE TORQUE DRIVE NUT 2DP,PANTRA,5,,,,,
HONDA GENUINE TORQUE DRIVE NUT CLICK,PANTRA,4,,,,,
YAMAHA GENUINE MAGNETO OIL SEAL (5MX1) 93102-19800,PANTRA,5,,,,,
YAMAHA GENUINE MAGNETO OIL SEAL M3 2PH-E7641-00,PANTRA,5,,,,,
YAMAHA GENUINE OIL SEAL NMAX 2DP-E7641-00,PANTRA,5,,,,,
YAMAHA GENUINE OIL SEAL AEROX BG3-E7641-00,PANTRA,5,,,,,
HONDA GENUINE MAGNETO OIL SEAL (20-8X32X6) CLICK 125,PANTRA,5,,,,,
HONDA GENUINE PULLEY NUT CLICK,PANTRA,4,,,,,
HONDA GENUINE BELL NUT CLICK,PANTRA,5,,,,,
YAMAHA GENUINE PULLEY NUT MIO SPORTY,PANTRA,5,,,,,
YAMAHA GENUINE PULLEY NUT M3,PANTRA,5,,,,,
YAMAHA GENUINE BELL NUT MIO SPORTY,PANTRA,5,,,,,
FORK OIL SEAL YAMAHA FZ ,PANTRA,5,,,,,
HONDA GENUINE TORQUE DRIVE OIL SEAL CLICK,PANTRA,4,,,,,
YAMAHA GENUINE TORQUE DRIVE OIL SEAL AEROX,PANTRA,3,,,,,
YAMAHA GENUINE TORQUE DRIVE OIL SEAL M3,PANTRA,5,,,,,
HONDA GENUINE TAPET ORING WAVE 125,PANTRA,10,,,,,
YAMAHA GENUINE FUEL PUMP ORING,PANTRA,5,,,,,
HONDA GENUINE AXLE SHAFT OIL SEAL CLICK,PANTRA,3,,,,,
YAMAHA GENUINE BACK PLATE COVER PULLEY,PANTRA,4,,,,,
YAMAHA GENUINE HALFSHELL TORQUE - B6H-E7670-00,PANTRA,2,,,,,
YAMAHA GENUINE HALFSHELL TORQUE - 2SX-E7670-00,PANTRA,2,,,,,
HONDA GENUINE FUEL PUMP ORING,PANTRA,7,,,,,
YAMAHA GENUINE BASE GASKET 2PH-E1351-00,PANTRA,6,,,,,
CYLINDER HEAD JVT SUPER HEAD NMAX AEROX 26/23 MM,ENGINE PERFORMANCE,1,,,24500,,
CYLINDER BLOCK JVT BLOCK NMAX/AEROX 66MM,ENGINE PERFORMANCE,3,,,8800,,
CYLINDER BLOCK JVT BLOCK NMAX/AEROX 63MM,ENGINE PERFORMANCE,8,,,7800,,
CYLINDER BLOCK JVT BLOCK M3 59MM CB,ENGINE PERFORMANCE,14,,,5400,,
CYLINDER BLOCK JVT BLOCK M3 59MM 3B,ENGINE PERFORMANCE,3,,,4100,,
CYLINDER BLOCK JVT BLOCK MIO 59MM,ENGINE PERFORMANCE,2,,,5400,,
CYLINDER BLOCK JVT BLOCK RF1 62MM CB,ENGINE PERFORMANCE,1,,,6200,,
CAMSHAFT JVT CAMSHAFT MIO J20,ENGINE PERFORMANCE,2,,,,,
TSMP HEAD COVER BLACK,ENGINE PERFORMANCE,2,,,,,
TSMP HEAD COVER SILVER,ENGINE PERFORMANCE,2,,,,,
TSMP NMAX/AEROX BLOCK 63MM,ENGINE PERFORMANCE,11,,,,,
TSMP NMAX/AEROX BLOCK 66MM,ENGINE PERFORMANCE,0,,,,,
TSMP NMAX/AEROX BLOCK 66MM LONG SLEEVE,ENGINE PERFORMANCE,2,,,,,
TSMP MIO BLOCK 63MM,ENGINE PERFORMANCE,6,,,,,
TSMP CRANKSHAFT +4 NMAX V1 NMAX V1,ENGINE PERFORMANCE,1,,,,,
TSMP THROTTLE BODY NMAX V2 32MM,ENGINE PERFORMANCE,2,,,,,
TSMP THROTTLE BODY NMAX V2 34MM,ENGINE PERFORMANCE,5,,,,,
TSMP THROTTLE BODY NMAX V2 36MM,ENGINE PERFORMANCE,2,,,,,
TSMP THROTTLE BODY NMAX V2 38MM,ENGINE PERFORMANCE,0,,,,,
TSMP THROTTLE BODY NMAX V2 40MM,ENGINE PERFORMANCE,2,,,,,
TSMP THROTTLE BODY NMAX V1 32MM,ENGINE PERFORMANCE,1,,,,,
TSMP THROTTLE BODY AEROX V1 32MM,ENGINE PERFORMANCE,0,,,,,
